"PostId","PostTypeId","ParentId"
49199903,1,49199903
48911093,1,48911093
47788047,1,47788047
50573980,1,50573980
50883406,1,50883406
48339779,1,48339779
37542111,2,37540674
48248219,2,48242402
45572527,2,45572260
47133633,2,47133581
46882662,2,46882505
48879268,2,48879238
47155165,2,47155039
48182697,2,48182636
45605539,2,45605360
46264816,2,46264442
51068308,2,51067804
47475796,2,47475716
48200847,2,48200692
46261429,2,46259804
49726254,2,49725951
46803673,2,46801527
35895731,2,35894623
45559304,2,45558656
51645858,2,51645745
47031479,2,47031289
